image_id,transform,feature_id,original_value,transformed_value,absolute_change,percentage_change,status,should_theoretically_preserve,limitations
angry_a11,perspective_mild,stroke.intensity_proxy,0.593844,0.564432,0.029412,0.0495,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,perspective_mild,stroke.fragmentation,0.060284,0.053703,0.006581,0.1092,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,perspective_mild,segmentation.component_count,98.0,86.0,12.0,0.1224,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,perspective_mild,segmentation.largest_component_ratio,0.453926,0.53708,0.083154,0.1832,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,perspective_mild,colour.dark_ratio,0.340272,0.312939,0.027333,0.0803,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,shadow_mild,segmentation.foreground_coverage,0.222657,0.217398,0.005259,0.0236,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,shadow_mild,segmentation.bounding_box_coverage,0.938395,0.932665,0.005731,0.0061,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,shadow_mild,composition.centroid_x,0.480795,0.475538,0.005257,0.0109,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,shadow_mild,composition.centroid_y,0.413677,0.407291,0.006386,0.0154,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,shadow_mild,composition.symmetry,0.717587,0.720644,0.003057,0.0043,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,shadow_mild,stroke.edge_density,0.182488,0.169813,0.012675,0.0695,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
angry_a11,shadow_mild,stroke.intensity_proxy,0.593844,0.649718,0.055874,0.0941,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
