model,class_name,cohort,n_images_in_cohort,n_present,n_absent,n_uncertain,n_not_assessable,n_usable_for_metrics,sufficient_support,tp,fp,fn,tn,precision,recall,f1,specificity,balanced_accuracy,ranking_separation
florence2,vehicle,locked_test_descriptive_only,7,2,5,0,0,7,False,2,5,0,0,0.2857142857142857,1.0,0.4444444444444445,0.0,0.5,
yolo_world,person,full_80,80,59,21,0,0,80,True,14,2,45,19,0.875,0.23728813559322035,0.37333333333333335,0.9047619047619048,0.5710250201775625,0.5742534301856336
yolo_world,person,dev_eligible_excl_test,73,52,21,0,0,73,True,12,2,40,19,0.8571428571428571,0.23076923076923078,0.36363636363636365,0.9047619047619048,0.5677655677655677,0.5723443223443223
yolo_world,person,locked_test_descriptive_only,7,7,0,0,0,7,True,2,0,5,0,1.0,0.2857142857142857,0.4444444444444445,,,
yolo_world,face,full_80,80,71,9,0,0,80,True,5,0,66,9,1.0,0.07042253521126761,0.13157894736842107,1.0,0.5352112676056338,0.5352112676056338
yolo_world,face,dev_eligible_excl_test,73,64,9,0,0,73,True,5,0,59,9,1.0,0.078125,0.14492753623188406,1.0,0.5390625,0.5390625
yolo_world,face,locked_test_descriptive_only,7,7,0,0,0,7,True,0,0,7,0,,0.0,,,,
yolo_world,hand,full_80,80,43,37,0,0,80,True,3,0,40,37,1.0,0.06976744186046512,0.13043478260869565,1.0,0.5348837209302325,0.5348837209302325
yolo_world,hand,dev_eligible_excl_test,73,38,35,0,0,73,True,3,0,35,35,1.0,0.07894736842105263,0.14634146341463414,1.0,0.5394736842105263,0.5394736842105263
yolo_world,hand,locked_test_descriptive_only,7,5,2,0,0,7,True,0,0,5,2,,0.0,,1.0,0.5,0.5
yolo_world,animal,full_80,80,13,67,0,0,80,True,0,0,13,67,,0.0,,1.0,0.5,0.5
yolo_world,animal,dev_eligible_excl_test,73,10,63,0,0,73,True,0,0,10,63,,0.0,,1.0,0.5,0.5
yolo_world,animal,locked_test_descriptive_only,7,3,4,0,0,7,False,0,0,3,4,,0.0,,1.0,0.5,0.5
yolo_world,house,full_80,80,14,66,0,0,80,True,0,0,14,66,,0.0,,1.0,0.5,0.5
yolo_world,house,dev_eligible_excl_test,73,12,61,0,0,73,True,0,0,12,61,,0.0,,1.0,0.5,0.5
yolo_world,house,locked_test_descriptive_only,7,2,5,0,0,7,False,0,0,2,5,,0.0,,1.0,0.5,0.5
yolo_world,tree,full_80,80,15,64,1,0,79,True,2,0,13,64,1.0,0.13333333333333333,0.23529411764705882,1.0,0.5666666666666667,0.5666666666666667
yolo_world,tree,dev_eligible_excl_test,73,13,59,1,0,72,True,2,0,11,59,1.0,0.15384615384615385,0.2666666666666667,1.0,0.5769230769230769,0.5769230769230769
yolo_world,tree,locked_test_descriptive_only,7,2,5,0,0,7,False,0,0,2,5,,0.0,,1.0,0.5,0.5
yolo_world,heart,full_80,80,5,75,0,0,80,True,0,0,5,75,,0.0,,1.0,0.5,0.5
yolo_world,heart,dev_eligible_excl_test,73,4,69,0,0,73,False,0,0,4,69,,0.0,,1.0,0.5,0.5
yolo_world,heart,locked_test_descriptive_only,7,1,6,0,0,7,False,0,0,1,6,,0.0,,1.0,0.5,0.5
yolo_world,star,full_80,80,6,74,0,0,80,True,0,0,6,74,,0.0,,1.0,0.5,0.5
yolo_world,star,dev_eligible_excl_test,73,5,68,0,0,73,True,0,0,5,68,,0.0,,1.0,0.5,0.5
yolo_world,star,locked_test_descriptive_only,7,1,6,0,0,7,False,0,0,1,6,,0.0,,1.0,0.5,0.5
yolo_world,circle,full_80,80,4,76,0,0,80,False,0,4,4,72,0.0,0.0,,0.9473684210526315,0.47368421052631576,0.47368421052631576
yolo_world,circle,dev_eligible_excl_test,73,4,69,0,0,73,False,0,3,4,66,0.0,0.0,,0.9565217391304348,0.4782608695652174,0.4782608695652174
yolo_world,circle,locked_test_descriptive_only,7,0,7,0,0,7,False,0,1,0,6,0.0,,,0.8571428571428571,,
yolo_world,vehicle,full_80,80,5,75,0,0,80,True,0,0,5,75,,0.0,,1.0,0.5,0.5
yolo_world,vehicle,dev_eligible_excl_test,73,3,70,0,0,73,False,0,0,3,70,,0.0,,1.0,0.5,0.5
yolo_world,vehicle,locked_test_descriptive_only,7,2,5,0,0,7,False,0,0,2,5,,0.0,,1.0,0.5,0.5
